obra_id,semana_indice,semana_numero,fecha_corte,fase_estudio,origen_datos,estado_plan,compromisos_evaluados,compromisos_cumplidos,ppc_pct,restricciones_semana,restricciones_con_ciclo,tasa_liberacion_oportuna_pct,retraso_n,retraso_media_dias,retraso_desv_dias,retraso_mediana_dias,retraso_min_dias,retraso_max_dias,hhi_causas,causas_distintas
cmtcgb19h0000cwpbnwzdc7hj,1,1,2026-01-09,PRE,RECONSTRUIDO,CERRADO,12,7,58.33,3,3,66.67,3,0.6667,1.1547,0.0000,0.0000,2.0000,0.2000,5
cmtcgb19h0000cwpbnwzdc7hj,2,2,2026-01-16,PRE,RECONSTRUIDO,CERRADO,14,8,57.14,3,2,0.00,2,2.0000,1.4142,2.0000,1.0000,3.0000,0.1667,6
cmtcgb19h0000cwpbnwzdc7hj,3,3,2026-01-23,PRE,RECONSTRUIDO,CERRADO,11,6,54.55,1,1,0.00,1,2.0000,,2.0000,2.0000,2.0000,0.2000,5
cmtcgb19h0000cwpbnwzdc7hj,4,4,2026-01-30,PRE,RECONSTRUIDO,CERRADO,13,8,61.54,3,2,0.00,2,6.0000,4.2426,6.0000,3.0000,9.0000,0.2000,5
cmtcgb19h0000cwpbnwzdc7hj,5,5,2026-02-06,PRE,RECONSTRUIDO,CERRADO,15,8,53.33,0,0,,0,,,,,,0.1429,7
cmtcgb19h0000cwpbnwzdc7hj,6,6,2026-02-13,PRE,RECONSTRUIDO,CERRADO,12,7,58.33,6,6,0.00,6,5.0000,3.2863,6.0000,1.0000,8.0000,0.2000,5
cmtcgb19h0000cwpbnwzdc7hj,7,7,2026-02-20,PRE,RECONSTRUIDO,CERRADO,14,9,64.29,5,5,0.00,5,7.2000,5.0695,6.0000,2.0000,13.0000,0.2000,5
cmtcgb19h0000cwpbnwzdc7hj,8,8,2026-02-27,PRE,RECONSTRUIDO,CERRADO,13,7,53.85,3,3,0.00,3,5.3333,5.1316,4.0000,1.0000,11.0000,0.1667,6
cmtcgb19h0000cwpbnwzdc7hj,9,9,2026-03-06,PRE,RECONSTRUIDO,CERRADO,12,7,58.33,3,3,0.00,3,3.3333,1.1547,4.0000,2.0000,4.0000,0.2000,5
cmtcgb19h0000cwpbnwzdc7hj,10,10,2026-03-13,PRE,RECONSTRUIDO,CERRADO,14,8,57.14,3,3,0.00,3,8.3333,5.7735,5.0000,5.0000,15.0000,0.1667,6
cmtcgb19h0000cwpbnwzdc7hj,11,11,2026-03-20,POST,GESTIONADO,CERRADO,13,9,69.23,3,3,66.67,3,0.3333,0.5774,0.0000,0.0000,1.0000,0.3750,3
cmtcgb19h0000cwpbnwzdc7hj,12,12,2026-03-27,POST,GESTIONADO,CERRADO,14,11,78.57,3,2,50.00,2,0.5000,0.7071,0.5000,0.0000,1.0000,0.3333,3
cmtcgb19h0000cwpbnwzdc7hj,13,13,2026-04-03,POST,GESTIONADO,CERRADO,12,10,83.33,3,3,33.33,3,1.3333,1.5275,1.0000,0.0000,3.0000,0.5000,2
cmtcgb19h0000cwpbnwzdc7hj,14,14,2026-04-10,POST,GESTIONADO,CERRADO,15,12,80.00,3,2,50.00,2,0.5000,0.7071,0.5000,0.0000,1.0000,0.5556,2
cmtcgb19h0000cwpbnwzdc7hj,15,15,2026-04-17,POST,GESTIONADO,CERRADO,13,9,69.23,3,3,0.00,3,2.6667,2.0817,2.0000,1.0000,5.0000,0.3750,3
cmtcgb19h0000cwpbnwzdc7hj,16,16,2026-04-24,POST,GESTIONADO,CERRADO,14,12,85.71,3,3,33.33,3,1.0000,1.0000,1.0000,0.0000,2.0000,0.5000,2
cmtcgb19h0000cwpbnwzdc7hj,17,17,2026-05-01,POST,GESTIONADO,CERRADO,12,10,83.33,3,3,66.67,3,0.3333,0.5774,0.0000,0.0000,1.0000,0.5000,2
cmtcgb19h0000cwpbnwzdc7hj,18,18,2026-05-08,POST,GESTIONADO,CERRADO,15,13,86.67,3,3,33.33,3,3.6667,4.0415,3.0000,0.0000,8.0000,0.5000,2
cmtcgb19h0000cwpbnwzdc7hj,19,19,2026-05-15,POST,GESTIONADO,CERRADO,13,11,84.62,3,3,0.00,3,1.3333,0.5774,1.0000,1.0000,2.0000,0.5000,2
cmtcgb19h0000cwpbnwzdc7hj,20,20,2026-05-22,POST,GESTIONADO,CERRADO,14,12,85.71,3,3,66.67,3,0.3333,0.5774,0.0000,0.0000,1.0000,0.5000,2
