obra_id,restriccion_id,fecha_compromiso,fecha_resolucion,fase_estudio,tipo,estado,zona,proveedor_cod,retraso_dias,les_dias,fuera_especificacion
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb22x007zcwpbr19kyjuj,2026-01-09,2026-01-09,PRE,MATERIALES,RESUELTA,Piso 1,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2370081cwpbmumkvesi,2026-01-16,2026-01-17,PRE,MANO_OBRA,RESUELTA,Piso 2,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb23k0083cwpbex1so7zx,2026-01-23,2026-01-25,PRE,EQUIPOS,RESUELTA,Piso 1,,2,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb23o0085cwpbrnahcrcz,2026-01-30,2026-02-02,PRE,INFORMACION,RESUELTA,Piso 2,,3,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2400087cwpboey3wae4,2026-02-13,2026-02-18,PRE,ESPACIO,RESUELTA,Piso 1,,5,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2440089cwpbpxjco96f,2026-02-13,2026-02-21,PRE,REQUISITOS,RESUELTA,Piso 2,,8,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb24e008bcwpbijoursus,2026-02-20,2026-03-04,PRE,SEGURIDAD,RESUELTA,Piso 1,,12,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb24l008dcwpbpuzql4b4,2026-02-27,2026-02-28,PRE,MATERIALES,RESUELTA,Piso 2,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb24u008fcwpb4y9dwvyn,2026-03-06,2026-03-10,PRE,MANO_OBRA,RESUELTA,Piso 1,,4,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb252008hcwpbeq3l98qa,2026-03-13,2026-03-28,PRE,EQUIPOS,RESUELTA,Piso 2,,15,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb25f008jcwpb5lpb18li,2026-01-09,2026-01-11,PRE,INFORMACION,RESUELTA,Piso 1,,2,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb25n008lcwpb5p7sbelx,2026-01-16,,PRE,ESPACIO,PENDIENTE,Piso 2,,,2,
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb25x008ncwpb40ixf4tq,2026-02-20,2026-02-23,PRE,REQUISITOS,RESUELTA,Piso 1,,3,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb264008pcwpbyjhwc6o6,2026-01-30,2026-02-08,PRE,SEGURIDAD,RESUELTA,Piso 2,,9,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb26c008rcwpbumqeuk1l,2026-02-13,2026-02-14,PRE,MATERIALES,RESUELTA,Piso 1,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb26f008tcwpbdku7bz70,2026-02-13,2026-02-20,PRE,MANO_OBRA,RESUELTA,Piso 2,,7,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb26m008vcwpbz77sqheh,2026-02-20,2026-02-22,PRE,EQUIPOS,RESUELTA,Piso 1,,2,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb26v008xcwpba75x8jip,2026-02-27,2026-03-10,PRE,INFORMACION,RESUELTA,Piso 2,,11,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb271008zcwpbxxhf0gwe,2026-03-06,2026-03-10,PRE,ESPACIO,RESUELTA,Piso 1,,4,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2790091cwpbmwf1ejcx,2026-03-13,2026-03-18,PRE,REQUISITOS,RESUELTA,Piso 2,,5,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb27e0093cwpbctt3d9us,2026-01-09,2026-01-09,PRE,SEGURIDAD,RESUELTA,Piso 1,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb27p0095cwpbzqrgusoc,2026-01-16,2026-01-19,PRE,MATERIALES,RESUELTA,Piso 2,,3,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb27s0097cwpbcwpkgbpl,2026-02-20,2026-02-26,PRE,MANO_OBRA,RESUELTA,Piso 1,,6,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb27y0099cwpbcv1hw44k,2026-01-30,,PRE,EQUIPOS,PENDIENTE,Piso 2,,,2,
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb289009bcwpbepsoqyd3,2026-02-13,2026-02-21,PRE,INFORMACION,RESUELTA,Piso 1,,8,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb28f009dcwpb0k4r4ljf,2026-02-13,2026-02-14,PRE,ESPACIO,RESUELTA,Piso 2,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb28p009fcwpbz7wxxukh,2026-02-20,2026-03-05,PRE,REQUISITOS,RESUELTA,Piso 1,,13,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb28t009hcwpbawgc2lnk,2026-02-27,2026-03-03,PRE,SEGURIDAD,RESUELTA,Piso 2,,4,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb294009jcwpbwg290hsv,2026-03-06,2026-03-08,PRE,MATERIALES,RESUELTA,Piso 1,,2,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb297009lcwpbqhwxtivz,2026-03-13,2026-03-18,PRE,MANO_OBRA,RESUELTA,Piso 2,,5,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb29e009ncwpb65nxzdwr,2026-03-20,2026-03-20,POST,MATERIALES,RESUELTA,Piso 1,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb29n009pcwpb0qn9bksn,2026-03-27,2026-03-27,POST,MANO_OBRA,RESUELTA,Piso 2,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb29s009rcwpbv1tv6j2u,2026-04-03,2026-04-04,POST,EQUIPOS,RESUELTA,Piso 1,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2a1009tcwpb2o6zq5xb,2026-04-10,2026-04-10,POST,INFORMACION,RESUELTA,Piso 2,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2a4009vcwpbqqxpefg3,2026-04-17,2026-04-19,POST,ESPACIO,RESUELTA,Piso 1,,2,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2ab009xcwpbwiuoyw1e,2026-04-24,2026-04-25,POST,REQUISITOS,RESUELTA,Piso 2,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2aj009zcwpb24zaavcw,2026-05-01,2026-05-01,POST,SEGURIDAD,RESUELTA,Piso 1,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2am00a1cwpbygz3kx2n,2026-05-08,2026-05-11,POST,MATERIALES,RESUELTA,Piso 2,,3,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2ax00a3cwpb7rjruq7l,2026-05-15,2026-05-16,POST,MANO_OBRA,RESUELTA,Piso 1,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2b100a5cwpbexyej3s9,2026-05-22,2026-05-22,POST,EQUIPOS,RESUELTA,Piso 2,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2b600a7cwpb6sy4xczz,2026-03-20,2026-03-21,POST,INFORMACION,RESUELTA,Piso 1,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2be00a9cwpbqjii56b7,2026-03-27,,POST,ESPACIO,PENDIENTE,Piso 2,,,2,
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2bh00abcwpbnkg1w1xg,2026-04-03,2026-04-03,POST,REQUISITOS,RESUELTA,Piso 1,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2bo00adcwpbxryjmk2j,2026-04-10,2026-04-11,POST,SEGURIDAD,RESUELTA,Piso 2,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2bw00afcwpb0iiylg44,2026-04-17,2026-04-22,POST,MATERIALES,RESUELTA,Piso 1,,5,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2bz00ahcwpbbgjiq41o,2026-04-24,2026-04-24,POST,MANO_OBRA,RESUELTA,Piso 2,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2c600ajcwpb0o4ysrjm,2026-05-01,2026-05-02,POST,EQUIPOS,RESUELTA,Piso 1,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2cf00alcwpbafclfail,2026-05-08,2026-05-08,POST,INFORMACION,RESUELTA,Piso 2,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2ck00ancwpby0eiax6i,2026-05-15,2026-05-17,POST,ESPACIO,RESUELTA,Piso 1,,2,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2cv00apcwpbvd1lc2gp,2026-05-22,2026-05-23,POST,REQUISITOS,RESUELTA,Piso 2,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2cy00arcwpbs6m8cu6c,2026-03-20,2026-03-20,POST,SEGURIDAD,RESUELTA,Piso 1,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2d700atcwpbwjkg3j9l,2026-03-27,2026-03-28,POST,MATERIALES,RESUELTA,Piso 2,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2db00avcwpbk03mt8jx,2026-04-03,2026-04-06,POST,MANO_OBRA,RESUELTA,Piso 1,,3,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2de00axcwpb56iuzjhy,2026-04-10,,POST,EQUIPOS,PENDIENTE,Piso 2,,,2,
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2dn00azcwpbwukyrs4r,2026-04-17,2026-04-18,POST,INFORMACION,RESUELTA,Piso 1,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2ds00b1cwpbzqiucz9s,2026-04-24,2026-04-26,POST,ESPACIO,RESUELTA,Piso 2,,2,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2dv00b3cwpbylvsb8y5,2026-05-01,2026-05-01,POST,REQUISITOS,RESUELTA,Piso 1,,0,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2e200b5cwpbfoeinyig,2026-05-08,2026-05-16,POST,SEGURIDAD,RESUELTA,Piso 2,,8,2,1
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2e600b7cwpburbgqypo,2026-05-15,2026-05-16,POST,MATERIALES,RESUELTA,Piso 1,,1,2,0
cmtcgb19h0000cwpbnwzdc7hj,cmtcgb2e900b9cwpb4gp2kbxt,2026-05-22,2026-05-22,POST,MANO_OBRA,RESUELTA,Piso 2,,0,2,0
