obra_id,tarea_uid,codigo,nombre,es_hito,es_critico,fase_estudio,inicio_plan,fin_plan,inicio_real,fin_real,origen_inicio,origen_fin,desv_inicio_dias,desv_fin_dias,duracion_plan_dias,duracion_real_dias,desv_duracion_dias
cmtcgb19h0000cwpbnwzdc7hj,1,1.01,Tarea planificada 1,0,1,PRE,2026-01-12,2026-01-16,2026-01-15,2026-01-19,DECLARADA,DECLARADA,3,3,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,2,1.02,Tarea planificada 2,0,0,PRE,2026-01-19,2026-01-23,2026-01-22,2026-01-28,DERIVADA,DERIVADA,3,5,5.00,7,2.00
cmtcgb19h0000cwpbnwzdc7hj,3,1.03,Tarea planificada 3,0,0,PRE,2026-01-26,2026-01-30,2026-01-27,2026-01-31,DERIVADA,DERIVADA,1,1,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,4,1.04,Tarea planificada 4,0,0,PRE,2026-02-02,2026-02-06,2026-02-05,2026-02-14,DERIVADA,DERIVADA,3,8,5.00,10,5.00
cmtcgb19h0000cwpbnwzdc7hj,5,1.05,Tarea planificada 5,0,1,PRE,2026-02-09,2026-02-13,2026-02-11,2026-02-15,DERIVADA,DERIVADA,2,2,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,6,1.06,Tarea planificada 6,0,0,PRE,2026-02-16,2026-02-20,2026-02-19,2026-02-26,DECLARADA,DECLARADA,3,6,5.00,8,3.00
cmtcgb19h0000cwpbnwzdc7hj,7,2.01,Tarea planificada 7,0,0,PRE,2026-02-23,2026-02-27,2026-02-26,2026-03-03,DERIVADA,DERIVADA,3,4,5.00,6,1.00
cmtcgb19h0000cwpbnwzdc7hj,8,2.02,Tarea planificada 8,0,0,PRE,2026-03-02,2026-03-06,2026-03-05,2026-03-17,DERIVADA,DERIVADA,3,11,5.00,13,8.00
cmtcgb19h0000cwpbnwzdc7hj,9,2.03,Tarea planificada 9,0,1,PRE,2026-03-09,2026-03-13,2026-03-11,2026-03-15,DERIVADA,DERIVADA,2,2,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,10,2.04,Tarea planificada 10,0,0,POST,2026-03-16,2026-03-20,2026-03-19,2026-03-27,DERIVADA,DERIVADA,3,7,5.00,9,4.00
cmtcgb19h0000cwpbnwzdc7hj,11,2.05,Tarea planificada 11,0,0,POST,2026-03-23,2026-03-27,2026-03-24,2026-03-28,DECLARADA,DECLARADA,1,1,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,12,2.06,Tarea planificada 12,0,0,POST,2026-03-30,2026-04-03,2026-04-01,2026-04-05,DERIVADA,DERIVADA,2,2,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,13,3.01,Tarea planificada 13,0,1,POST,2026-04-06,2026-04-10,2026-04-06,2026-04-10,DERIVADA,DERIVADA,0,0,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,14,3.02,Tarea planificada 14,0,0,POST,2026-04-13,2026-04-17,2026-04-16,2026-04-20,DERIVADA,DERIVADA,3,3,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,15,3.03,Tarea planificada 15,0,0,POST,2026-04-20,2026-04-24,2026-04-21,2026-04-25,DERIVADA,DERIVADA,1,1,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,16,3.04,Tarea planificada 16,0,0,POST,2026-04-27,2026-05-01,2026-04-27,2026-05-01,DECLARADA,DECLARADA,0,0,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,17,3.05,Tarea planificada 17,0,1,POST,2026-05-04,2026-05-08,2026-05-06,2026-05-10,DERIVADA,DERIVADA,2,2,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,18,3.06,Tarea planificada 18,0,0,POST,2026-05-11,2026-05-15,2026-05-12,2026-05-16,DERIVADA,DERIVADA,1,1,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,19,4.01,Tarea planificada 19,0,0,POST,2026-05-18,2026-05-22,2026-05-21,2026-05-26,DERIVADA,DERIVADA,3,4,5.00,6,1.00
cmtcgb19h0000cwpbnwzdc7hj,20,4.02,Tarea planificada 20,0,0,POST,2026-05-25,2026-05-29,2026-05-25,2026-05-29,DERIVADA,DERIVADA,0,0,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,21,4.03,Tarea planificada 21,0,1,POST,2026-06-01,2026-06-05,2026-06-02,2026-06-06,DECLARADA,DECLARADA,1,1,5.00,5,0.00
cmtcgb19h0000cwpbnwzdc7hj,22,4.04,Tarea planificada 22,0,0,POST,2026-06-08,2026-06-12,2026-06-10,,DERIVADA,,2,,5.00,,
cmtcgb19h0000cwpbnwzdc7hj,23,4.05,Tarea planificada 23,0,0,POST,2026-06-15,2026-06-19,2026-06-15,,DERIVADA,,0,,5.00,,
cmtcgb19h0000cwpbnwzdc7hj,24,4.06,Tarea planificada 24,0,0,POST,2026-06-22,2026-06-26,2026-06-23,,DERIVADA,,1,,5.00,,
